file,emotion,text,speaker,aug_text
Ses01F_impro01_F000,neu,excuse me.,Ses01F,I'm sorry.
Ses01F_impro01_F001,neu,yeah.,Ses01F,Yeah.
Ses01F_impro01_F002,neu,is there a problem?,Ses01F,Is there a problem?
Ses01F_impro01_F005,neu,well what's the problem? let me change it.,Ses01F,Is there a problem?
Ses01F_impro01_F012,ang,that's out of control.,Ses01F,It's out of control.
Ses01F_impro01_F014,neu,"clearly. you know, do you have like a supervisor or something?",Ses01F,"Obviously, you know, do you have like a boss or something?"
Ses01F_impro01_M011,ang,i don't understand why this is so complicated for people when they get here. it's just a simple form. i just need an id.,Ses01M,"I don't understand why when people get here, it's so complicated for these people, it's just a simple form. I just need an ID."
Ses01F_impro01_M013,ang,yeah. do you want to see my supervisor? huh? yeah. do you want to see my supervisor? fine. i'll be right back.,Ses01M,Do you want to see my boss?
Ses01F_impro02_F000,sad,did you get the mail? so you saw my letter?,Ses01F,Did you get my letter? Did you see my letter?
Ses01F_impro02_F001,sad,yeah. i know.,Ses01F,"Yeah, I know. ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause ) ( applause )"
Ses01F_impro02_F002,sad,i don't know. i put in that. request too. they didn't...,Ses01F,"I don't know. I wrote that in. Please, they didn't..."
Ses01F_impro02_F003,neu,"i guess, you know, everybody has to make sacrifices.",Ses01F,"I guess, you know, everybody has to make sacrifices."
Ses01F_impro02_F004,sad,"there's people that have given more though, you know?",Ses01F,"Some people have given more though, you know?"
Ses01F_impro02_F005,sad,i know.,Ses01F,I know.
Ses01F_impro02_F006,neu,"there's babies over there, though, that need mothers.",Ses01F,"There's babies there, though, that needs a mother."
Ses01F_impro02_F008,sad,"just, you know, kicking myself.",Ses01F,"Just, you know, kick myself."
Ses01F_impro02_F010,sad,things just aren't what they seem.,Ses01F,It's not what they look like.
Ses01F_impro02_F012,sad,"if not me then, who?",Ses01F,"If it wasn't for me, who would it be?"
