file,emotion,text,speaker
Ses01F_impro01_F000,neu,excuse me.,Ses01F
Ses01F_impro01_F001,neu,yeah.,Ses01F
Ses01F_impro01_F002,neu,is there a problem?,Ses01F
Ses01F_impro01_F005,neu,well what's the problem? let me change it.,Ses01F
Ses01F_impro01_F012,ang,that's out of control.,Ses01F
Ses01F_impro01_F014,neu,"clearly. you know, do you have like a supervisor or something?",Ses01F
Ses01F_impro01_M011,ang,i don't understand why this is so complicated for people when they get here. it's just a simple form. i just need an id.,Ses01M
Ses01F_impro01_M013,ang,yeah. do you want to see my supervisor? huh? yeah. do you want to see my supervisor? fine. i'll be right back.,Ses01M
Ses01F_impro02_F000,sad,did you get the mail? so you saw my letter?,Ses01F
Ses01F_impro02_F001,sad,yeah. i know.,Ses01F
Ses01F_impro02_F002,sad,i don't know. i put in that. request too. they didn't...,Ses01F
Ses01F_impro02_F003,neu,"i guess, you know, everybody has to make sacrifices.",Ses01F
Ses01F_impro02_F004,sad,"there's people that have given more though, you know?",Ses01F
Ses01F_impro02_F005,sad,i know.,Ses01F
Ses01F_impro02_F006,neu,"there's babies over there, though, that need mothers.",Ses01F
Ses01F_impro02_F008,sad,"just, you know, kicking myself.",Ses01F
Ses01F_impro02_F010,sad,things just aren't what they seem.,Ses01F
Ses01F_impro02_F012,sad,"if not me then, who?",Ses01F
Ses01F_impro02_F013,sad,"you'll videotape everything, yeah?",Ses01F
Ses01F_impro02_F014,sad,"maybe you can send it to me, like stream it, yeah?",Ses01F
Ses01F_impro02_F015,sad,last month-- yeah.,Ses01F
Ses01F_impro02_F016,neu,i have to find sitters.,Ses01F
Ses01F_impro02_F017,sad,"we've got friends, that's why we moved here, huh? because there is a day care down the street.",Ses01F
Ses01F_impro02_F018,neu,and your mother is close by.,Ses01F
Ses01F_impro02_F019,sad,i'll send you lots of letters.,Ses01F
Ses01F_impro02_F020,sad,and i want lots and lots and lots of pictures.,Ses01F
Ses01F_impro02_M001,sad,"i don't understand. you've already done so much, i don't know why do you have to go back.",Ses01M
Ses01F_impro02_M005,sad,i don't know how you can be okay with this? i don't know why you're not-- you're fine with it.,Ses01M
Ses01F_impro02_M009,sad,i just don't see why it has to be you.,Ses01M
Ses01F_impro02_M010,sad,what am i going to do? huh?,Ses01M
Ses01F_impro02_M011,sad,yeah.,Ses01M
Ses01F_impro02_M012,neu,don't you guys have access to computers over there.,Ses01M
Ses01F_impro02_M013,sad,i just don't know how i'm going to do it without you.,Ses01M
Ses01F_impro02_M014,sad,i can't raise a baby by myself. how?,Ses01M
Ses01F_impro02_M015,neu,i know.,Ses01M
Ses01F_impro03_F000,hap,well vegas was awesome.,Ses01F
Ses01F_impro03_F001,hap,"and, um, i got married.",Ses01F
Ses01F_impro03_F002,hap,yeah. in the old town part.,Ses01F
Ses01F_impro03_F004,hap,um- yes. it was very romantic.,Ses01F
Ses01F_impro03_F005,hap,it was at the slot machines.,Ses01F
Ses01F_impro03_F006,hap,"uhuh, uhuh. he won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F
Ses01F_impro03_F008,hap,"yeah. well. you know, because he's leaving the next day.",Ses01F
Ses01F_impro03_F009,hap,but we're going to have a honeymoon cruise.,Ses01F
Ses01F_impro03_F010,hap,oh. i hadn't even thought about that.,Ses01F
Ses01F_impro03_F012,hap,oh. totally.,Ses01F
Ses01F_impro03_F013,hap,i guess i'll- i guess i'll have an internet husband.[laughter],Ses01F
Ses01F_impro03_F015,hap,"yeah, so [laughter] he's calling me now",Ses01F
Ses01F_impro03_F016,hap,"he likes to keep tabs, you know.",Ses01F
Ses01F_impro03_F017,neu,"uh, i think seven hundred and fifty dollars.",Ses01F
Ses01F_impro03_F018,neu,penny slots. that's what he plays.,Ses01F
Ses01F_impro03_F019,neu,yeah.,Ses01F
